😀	grand sourire
🧑🏽‍🦰	adulte%e2%80%af peau legerement mate et cheveux roux
🧑🏾‍🦰	adulte%e2%80%af peau mate et cheveux roux
🧑🏿‍🦰	adulte%e2%80%af peau foncee et cheveux roux
👩‍🦱	femme avec les cheveux boucles
👩🏻‍🦱	femme avec les cheveux boucles peau 1
👩🏼‍🦱	femme avec les cheveux boucles peau 2
👩🏽‍🦱	femme avec les cheveux boucles peau 3
👩🏾‍🦱	femme avec les cheveux boucles peau 4
👩🏿‍🦱	femme avec les cheveux boucles peau 5
🧑‍🦱	adulte%e2%80%af cheveux boucles
🧑🏻‍🦱	adulte%e2%80%af peau claire et cheveux boucles
🧑🏼‍🦱	adulte%e2%80%af peau moyennement claire et cheveux boucles
🧑🏽‍🦱	adulte%e2%80%af peau legerement mate et cheveux boucles
🧑🏾‍🦱	adulte%e2%80%af peau mate et cheveux boucles
🧑🏿‍🦱	adulte%e2%80%af peau foncee et cheveux boucles
👩‍🦳	femme aux cheveux blancs
👩🏻‍🦳	femme aux cheveux blancs peau 1
👩🏼‍🦳	femme aux cheveux blancs peau 2
👩🏽‍🦳	femme aux cheveux blancs peau 3
👩🏾‍🦳	femme aux cheveux blancs peau 4
👩🏿‍🦳	femme aux cheveux blancs peau 5
🧑‍🦳	adulte%e2%80%af cheveux blancs
🧑🏻‍🦳	adulte%e2%80%af peau claire et cheveux blancs
🧑🏼‍🦳	adulte%e2%80%af peau moyennement claire et cheveux blancs
🧑🏽‍🦳	adulte%e2%80%af peau legerement mate et cheveux blancs
🧑🏾‍🦳	adulte%e2%80%af peau mate et cheveux blancs
🧑🏿‍🦳	adulte%e2%80%af peau foncee et cheveux blancs
👩‍🦲	femme avec une tete chauve
👩🏻‍🦲	femme avec une tete chauve peau 1
👩🏼‍🦲	femme avec une tete chauve peau 2
👩🏽‍🦲	femme avec une tete chauve peau 3
👩🏾‍🦲	femme avec une tete chauve peau 4
👩🏿‍🦲	femme avec une tete chauve peau 5
🧑‍🦲	adulte%e2%80%af chauve
🧑🏻‍🦲	adulte%e2%80%af peau claire et chauve
🧑🏼‍🦲	adulte%e2%80%af peau moyennement claire et chauve
🧑🏽‍🦲	adulte%e2%80%af peau legerement mate et chauve
🧑🏾‍🦲	adulte%e2%80%af peau mate et chauve
🧑🏿‍🦲	adulte%e2%80%af peau foncee et chauve
👱‍♀️	blonde
👱🏻‍♀️	blonde peau 1
👱🏼‍♀️	blonde peau 2
👱🏽‍♀️	blonde peau 3
👱🏾‍♀️	blonde peau 4
👱🏿‍♀️	blonde peau 5
👱‍♂️	blond
👱🏻‍♂️	blond peau 1
👱🏼‍♂️	blond peau 2
👱🏽‍♂️	blond peau 3
👱🏾‍♂️	blond peau 4
👱🏿‍♂️	blond peau 5
🧓	adulte plus age
🧓🏻	adulte plus age peau 1
🧓🏼	adulte plus age peau 2
🧓🏽	adulte plus age peau 3
🧓🏾	adulte plus age peau 4
🧓🏿	adulte plus age peau 5
👴	homme age
👴🏻	homme age peau 1
👴🏼	homme age peau 2
👴🏽	homme age peau 3
👴🏾	homme age peau 4
👴🏿	homme age peau 5
👵	femme agee
👵🏻	femme agee peau 1
👵🏼	femme agee peau 2
👵🏽	femme agee peau 3
👵🏾	femme agee peau 4
👵🏿	femme agee peau 5
🙍	personne etonnee
🙍🏻	personne etonnee peau 1
🙍🏼	personne etonnee peau 2
🙍🏽	personne etonnee peau 3
🙍🏾	personne etonnee peau 4
🙍🏿	personne etonnee peau 5
🙍‍♂️	homme mecontent
🙍🏻‍♂️	homme mecontent peau 1
🙍🏼‍♂️	homme mecontent peau 2
🙍🏽‍♂️	homme mecontent peau 3
🙍🏾‍♂️	homme mecontent peau 4
🙍🏿‍♂️	homme mecontent peau 5
🙍‍♀️	femme mecontente
🙍🏻‍♀️	femme mecontente peau 1
🙍🏼‍♀️	femme mecontente peau 2
🙍🏽‍♀️	femme mecontente peau 3
🙍🏾‍♀️	femme mecontente peau 4
🙍🏿‍♀️	femme mecontente peau 5
🙎	personne qui boude
🙎🏻	personne qui boude peau 1
🙎🏼	personne qui boude peau 2
🙎🏽	personne qui boude peau 3
🙎🏾	personne qui boude peau 4
🙎🏿	personne qui boude peau 5
🙎‍♂️	boudeur
🙎🏻‍♂️	boudeur peau 1
🙎🏼‍♂️	boudeur peau 2
🙎🏽‍♂️	boudeur peau 3
🙎🏾‍♂️	boudeur peau 4
🙎🏿‍♂️	boudeur peau 5
🙎‍♀️	boudeuse
🙎🏻‍♀️	boudeuse peau 1
🙎🏼‍♀️	boudeuse peau 2
🙎🏽‍♀️	boudeuse peau 3
🙎🏾‍♀️	boudeuse peau 4
🙎🏿‍♀️	boudeuse peau 5
🙅	geste dinterdiction
🙅🏻	geste dinterdiction peau 1
🙅🏼	geste dinterdiction peau 2
🙅🏽	geste dinterdiction peau 3
🙅🏾	geste dinterdiction peau 4
🙅🏿	geste dinterdiction peau 5
🙅‍♂️	homme faisant un geste dinterdiction
🙅🏻‍♂️	homme faisant un geste dinterdiction peau 1
🙅🏼‍♂️	homme faisant un geste dinterdiction peau 2
🙅🏽‍♂️	homme faisant un geste dinterdiction peau 3
🙅🏾‍♂️	homme faisant un geste dinterdiction peau 4
🙅🏿‍♂️	homme faisant un geste dinterdiction peau 5
🙅‍♀️	femme faisant un geste dinterdiction
🙅🏻‍♀️	femme faisant un geste dinterdiction peau 1
🙅🏼‍♀️	femme faisant un geste dinterdiction peau 2
🙅🏽‍♀️	femme faisant un geste dinterdiction peau 3
🙅🏾‍♀️	femme faisant un geste dinterdiction peau 4
🙅🏿‍♀️	femme faisant un geste dinterdiction peau 5
🙆	geste daccord
🙆🏻	geste daccord peau 1
🙆🏼	geste daccord peau 2
🙆🏽	geste daccord peau 3
🙆🏾	geste daccord peau 4
🙆🏿	geste daccord peau 5
🙆‍♂️	homme faisant un geste daccord
🙆🏻‍♂️	homme faisant un geste daccord peau 1
🙆🏼‍♂️	homme faisant un geste daccord peau 2
🙆🏽‍♂️	homme faisant un geste daccord peau 3
🙆🏾‍♂️	homme faisant un geste daccord peau 4
🙆🏿‍♂️	homme faisant un geste daccord peau 5
🙆‍♀️	femme faisant un geste daccord
🙆🏻‍♀️	femme faisant un geste daccord peau 1
🙆🏼‍♀️	femme faisant un geste daccord peau 2
🙆🏽‍♀️	femme faisant un geste daccord peau 3
🙆🏾‍♀️	femme faisant un geste daccord peau 4
🙆🏿‍♀️	femme faisant un geste daccord peau 5
💁	assistance
💁🏻	assistance peau 1
💁🏼	assistance peau 2
💁🏽	assistance peau 3
💁🏾	assistance peau 4
💁🏿	assistance peau 5
💁‍♂️	homme paume vers le haut
💁🏻‍♂️	homme paume vers le haut peau 1
💁🏼‍♂️	homme paume vers le haut peau 2
💁🏽‍♂️	homme paume vers le haut peau 3
💁🏾‍♂️	homme paume vers le haut peau 4
💁🏿‍♂️	homme paume vers le haut peau 5
💁‍♀️	femme paume vers le haut
💁🏻‍♀️	femme paume vers le haut peau 1
💁🏼‍♀️	femme paume vers le haut peau 2
💁🏽‍♀️	femme paume vers le haut peau 3
💁🏾‍♀️	femme paume vers le haut peau 4
💁🏿‍♀️	femme paume vers le haut peau 5
🙋	personne qui leve la main
🙋🏻	personne qui leve la main peau 1
🙋🏼	personne qui leve la main peau 2
🙋🏽	personne qui leve la main peau 3
🙋🏾	personne qui leve la main peau 4
🙋🏿	personne qui leve la main peau 5
🙋‍♂️	homme qui leve la main
🙋🏻‍♂️	homme qui leve la main peau 1
🙋🏼‍♂️	homme qui leve la main peau 2
🙋🏽‍♂️	homme qui leve la main peau 3
🙋🏾‍♂️	homme qui leve la main peau 4
🙋🏿‍♂️	homme qui leve la main peau 5
🙋‍♀️	femme qui leve la main
🙋🏻‍♀️	femme qui leve la main peau 1
🙋🏼‍♀️	femme qui leve la main peau 2
🙋🏽‍♀️	femme qui leve la main peau 3
🙋🏾‍♀️	femme qui leve la main peau 4
🙋🏿‍♀️	femme qui leve la main peau 5
🧏	personne sourde
🧏🏻	personne sourde%e2%80%af peau claire
🧏🏼	personne sourde%e2%80%af peau moyennement claire
🧏🏽	personne sourde%e2%80%af peau legerement mate
🧏🏾	personne sourde%e2%80%af peau mate
🧏🏿	personne sourde%e2%80%af peau foncee
🧏‍♂️	homme sourd
🧏🏻‍♂️	homme sourd%e2%80%af peau claire
🧏🏼‍♂️	homme sourd%e2%80%af peau moyennement claire
🧏🏽‍♂️	homme sourd%e2%80%af peau legerement mate
🧏🏾‍♂️	homme sourd%e2%80%af peau mate
🧏🏿‍♂️	homme sourd%e2%80%af peau foncee
🧏‍♀️	femme sourde
🧏🏻‍♀️	femme sourde%e2%80%af peau claire
🧏🏼‍♀️	femme sourde%e2%80%af peau moyennement claire
🧏🏽‍♀️	femme sourde%e2%80%af peau legerement mate
🧏🏾‍♀️	femme sourde%e2%80%af peau mate
🧏🏿‍♀️	femme sourde%e2%80%af peau foncee
🙇	desole
🙇🏻	desole peau 1
🙇🏼	desole peau 2
🙇🏽	desole peau 3
🙇🏾	desole peau 4
🙇🏿	desole peau 5
🙇‍♂️	homme qui se prosterne
🙇🏻‍♂️	homme qui se prosterne peau 1
🙇🏼‍♂️	homme qui se prosterne peau 2
🙇🏽‍♂️	homme qui se prosterne peau 3
🙇🏾‍♂️	homme qui se prosterne peau 4
🙇🏿‍♂️	homme qui se prosterne peau 5
🙇‍♀️	femme qui se prosterne
🙇🏻‍♀️	femme qui se prosterne peau 1
🙇🏼‍♀️	femme qui se prosterne peau 2
🙇🏽‍♀️	femme qui se prosterne peau 3
🙇🏾‍♀️	femme qui se prosterne peau 4
🙇🏿‍♀️	femme qui se prosterne peau 5
🤦	paume de main
🤦🏻	paume de main peau 1
🤦🏼	paume de main peau 2
🤦🏽	paume de main peau 3
🤦🏾	paume de main peau 4
🤦🏿	paume de main peau 5
🤦‍♂️	homme paume sur le visage
🤦🏻‍♂️	homme paume sur le visage peau 1
🤦🏼‍♂️	homme paume sur le visage peau 2
🤦🏽‍♂️	homme paume sur le visage peau 3
🤦🏾‍♂️	homme paume sur le visage peau 4
🤦🏿‍♂️	homme paume sur le visage peau 5
🤦‍♀️	femme paume sur le visage
🤦🏻‍♀️	femme paume sur le visage peau 1
🤦🏼‍♀️	femme paume sur le visage peau 2
🤦🏽‍♀️	femme paume sur le visage peau 3
🤦🏾‍♀️	femme paume sur le visage peau 4
🤦🏿‍♀️	femme paume sur le visage peau 5
🤷	hausser les epaules
🤷🏻	hausser les epaules peau 1
🤷🏼	hausser les epaules peau 2
🤷🏽	hausser les epaules peau 3
🤷🏾	hausser les epaules peau 4
🤷🏿	hausser les epaules peau 5
🤷‍♂️	homme qui hausse les epaules
🤷🏻‍♂️	homme qui hausse les epaules peau 1
🤷🏼‍♂️	homme qui hausse les epaules peau 2
🤷🏽‍♂️	homme qui hausse les epaules peau 3
🤷🏾‍♂️	homme qui hausse les epaules peau 4
🤷🏿‍♂️	homme qui hausse les epaules peau 5
🤷‍♀️	femme qui hausse les epaules
🤷🏻‍♀️	femme qui hausse les epaules peau 1
