😀	grand sourire
👨‍👦‍👦	famille homme garcon garcon
👨‍👧	famille homme fille
👨‍👧‍👦	famille homme fille garcon
👨‍👧‍👧	famille homme fille fille
👩‍👦	famille femme garcon
👩‍👦‍👦	famille femme garcon garcon
👩‍👧	famille femme fille
👩‍👧‍👦	famille femme fille garcon
👩‍👧‍👧	famille femme fille fille
🗣️	tete qui parle
👤	silhouette de buste
👥	silhouettes de bustes
🫂	etreinte
👣	traces de pas
🏻	peau 1 emoji
🏼	peau 2 emoji
🏽	peau 3 emoji
🏾	peau 4 emoji
🏿	peau 5 emoji
🦰	cheveux roux
🦱	cheveux boucles
🦳	cheveux blancs
🦲	tete chauve
🐵	tete de singe
🐒	singe
🦍	gorille
🦧	orang outan
🐶	tete de chien
🐕	chien
🦮	chien guide
🐕‍🦺	chien dassistance
🐩	caniche
🐺	loup
🦊	renard
🦝	raton laveur
🐱	tete de chat
🐈	chat
🐈‍⬛	chat noir
🦁	tete de lion
🐯	tete de tigre
🐅	tigre
🐆	leopard
🐴	tete de cheval
🐎	cheval
🦄	tete de licorne
🦓	zebre
🦌	cerf
🦬	bison 2
🐮	tete de vache
🐂	boeuf
🐃	buffle
🐄	vache
🐷	tete de cochon
🐖	cochon
🐗	sanglier
🐽	groin
🐏	belier
🐑	mouton
🐐	chevre
🐪	dromadaire
🐫	chameau
🦙	lama 2
🦒	girafe
🐘	elephant
🦣	mammouth
🦏	rhinoceros
🦛	hippopotame
🐭	tete de souris
🐁	souris
🐀	rat
🐹	hamster
🐰	tete de lapin
🐇	lapin
🐿️	ecureuil
🦫	castor
🦔	herisson
🦇	chauve souris
🐻	ours
🐻‍❄️	ours polaire
🐨	koala
🐼	panda
🦥	paresseux
🦦	loutre
🦨	mouffette
🦘	kangourou
🦡	blaireau
🐾	empreintes
🦃	dindon
🐔	poule
🐓	coq
🐣	poussin qui eclot
🐤	tete de poussin
🐥	poussin
🐦	oiseau
🐧	pingouin
🕊️	colombe
🦅	aigle
🦆	canard
🦢	cygne
🦉	chouette
🦤	dodo 2
🪶	plume
🦩	flamant
🦚	paon
🦜	perroquet
🐸	grenouille
🐊	crocodile
🐢	tortue
🦎	lezard
🐍	serpent
🐲	tete de dragon
🐉	dragon
🦕	sauropode
🦖	t rex
🐳	baleine avec event
🐋	baleine
🐬	dauphin
🦭	phoque
🐟	poisson
🐠	poisson tropical
🐡	poisson lune
🦈	requin
🐙	pieuvre
🐚	coquille
🐌	escargot
🦋	papillon
🐛	chenille
🐜	fourmi
🐝	abeille
🪲	scarabee
🐞	coccinelle
🦗	grillon
🪳	cafard
🕷️	araignee
🕸️	toile daraignee
🦂	scorpion
🦟	moustique
🪰	mouche
🪱	lombric
🦠	microbe 2
💐	bouquet
🌸	fleur de cerisier
💮	fleur blanche
🏵️	rosette
🌹	rose
🥀	fleur fanee
🌺	hibiscus
🌻	tournesol
🌼	bourgeon
🌷	tulipe
🌱	jeune pousse
🪴	plante en pot
🌲	sapin
🌳	arbre feuillu
🌴	palmier
🌵	cactus
🌾	plant de riz
🌿	feuille
☘️	trefle
🍀	trefle a quatre feuilles
🍁	feuille derable
🍂	feuilles mortes
🍃	tourbillon de feuilles
🍇	raisin
🍈	melon
🍉	pasteque
🍊	mandarine
🍋	citron
🍌	banane
🍍	ananas
🥭	mangue
🍎	pomme rouge
🍏	pomme verte
🍐	poire
🍑	peche
🍒	cerise
🍓	fraise
🫐	myrtilles
🥝	kiwi
🍅	tomate
🫒	olive 2
🥥	noix de coco
🥑	avocat
🍆	aubergine
🥔	pomme de terre
🥕	carotte
🌽	epi de mais
🌶️	piment rouge
🫑	poivron
🥒	concombre
🥬	legume feuille
🥦	brocoli
🧄	ail
🧅	oignon
🍄	champignon
🥜	cacahuete
🌰	chataigne
🍞	pain
🥐	croissant
🥖	baguette
🫓	galette
🥨	bretzel
🥯	bagel 3
🥞	pancakes
🧇	gaufre
🧀	part de fromage
🍖	os
🍗	cuisse de poulet
🥩	piece de viande
🥓	bacon
🍔	hamburger
🍟	frites
🍕	pizza
🌭	hot dog
🥪	sandwich
🌮	taco
🌯	burrito
🫔	tamal
🥙	kebab
🧆	falafels
🥚	oeuf
🍳	poele a frire
🥘	paella
🍲	marmite
🫕	fondue 2
🥣	bol avec cuillere
🥗	salade verte
🍿	pop corn
🧈	beurre
🧂	sel
🥫	conserve
🍱	boite dejeuner
🍘	galette de riz
🍙	boulette de riz
🍚	bol de riz
🍛	riz au curry
🍜	bol fumant
🍝	spaghetti
🍠	patate douce
🍢	brochette de poisson
🍣	sushi
🍤	beignet de crevette
🍥	croquette de poisson
🥮	gateau de lune
🍡	brochette de bonbons
🥟	boulette
🥠	biscuit de la fortune
🥡	boite a emporter
🦀	crabe
🦞	homard
🦐	crevette
🦑	calamar
🦪	huitre
🍦	glace italienne
🍧	granite
🍨	glace
🍩	doughnut
🍪	cookie
🎂	gateau danniversaire
🍰	gateau sable
🧁	cupcake petit gateau
🥧	tarte
🍫	barre chocolatee
🍬	bonbon
🍭	sucette
🍮	creme renversee
🍯	pot de miel
🍼	biberon
🥛	verre de lait
☕	boisson chaude
🫖	theiere
🍵	tasse
🍶	sake
🍾	bouteille de champagne
🍷	verre de vin
🍸	cocktail
🍹	cocktail tropical
🍺	chope
🍻	chopes de biere
🥂	trinquer
🥃	verre tumbler
🥤	gobelet avec paille
🧋	the aux perles
🧃	briquette de jus
🧉	mate
🧊	glacon
🥢	baguettes couverts asiatiques
🍽️	assiette et couverts
🍴	couteau et fourchette
🥄	cuillere
🔪	couteau de cuisine
🏺	amphore
🌍	globe europe afrique
🌎	globe ameriques
🌏	globe asie australie
🌐	meridiens
🗺️	carte du monde
🗾	carte du japon
🧭	boussole
🏔️	montagne enneigee
⛰️	montagne
🌋	volcan
🗻	mont fuji
🏕️	camping
🏖️	plage parasol
🏜️	desert
🏝️	ile deserte
🏞️	parc national
🏟️	stade
🏛️	monument classique
🏗️	construction dun batiment
🧱	briques
🪨	rocher
🪵	bois
🛖	hutte
🏘️	maisons
🏚️	maison abandonnee
🏠	pavillon
🏡	maison avec jardin
🏢	bureaux
🏣	poste japonaise
🏤	bureau de poste
🏥	hopital
🏦	banque
🏨	hotel emoji
🏩	hotel amour
🏪	superette
🏫	ecole
🏬	grand magasin
🏭	usine
🏯	chateau japonais
🏰	chateau
💒	mariage
🗼	tour tokyo
🗽	statue de la liberte
⛪	eglise
🕌	mosquee
🛕	temple hindou
🕍	synagogue
⛩️	sanctuaire shinto
🕋	kaaba
⛲	fontaine
⛺	tente
🌁	brume
🌃	nuit etoilee
🏙️	ville
🌄	soleil levant montagnes
🌅	soleil levant
🌆	ville au crepuscule
🌇	coucher de soleil en ville
🌉	pont nuit
♨️	sources chaudes
🎠	cheval de manege
🎡	grande roue
🎢	montagnes russes
💈	enseigne de barbier
🎪	chapiteau
🚂	locomotive 2
🚃	wagon
🚄	tgv
🚅	train a grande vitesse
🚆	train
🚇	metro
🚈	metro leger
🚉	gare
🚊	tram
🚝	monorail
🚞	train de montagne
🚋	wagon de tramway
🚌	bus
🚍	bus de face
🚎	trolleybus
🚐	minibus
🚑	ambulance
🚒	camion de pompier
🚓	voiture de police
🚔	voiture de police de face
🚕	taxi
🚖	taxi de face
🚗	voiture
🚘	voiture de face
🚙	vehicule de loisirs
🛻	pick up
🚚	camion de livraison
🚛	semi remorque
🚜	tracteur
🏎️	voiture de course
🏍️	moto
🛵	scooter
🦽	fauteuil roulant manuel
🦼	fauteuil motorise
🛺	tuk tuk
🚲	velo
🛴	trottinette
🛹	skateboard 3
🛼	patin a roulettes
🚏	arret de bus
🛣️	autoroute
🛤️	voie ferree
🛢️	baril de petrole
⛽	pompe a essence
🚨	gyrophare
🚥	feu tricolore horizontal
🚦	feu tricolore vertical
🛑	stop
🚧	travaux
⚓	ancre
⛵	voilier
🛶	canoe
🚤	hors bord
🛳️	paquebot
⛴️	ferry
🛥️	bateau a moteur
🚢	navire
✈️	avion
🛩️	petit avion
🛫	avion decollage
🛬	avion atterrissage
🪂	parachute
💺	siege
🚁	helicoptere
🚟	train suspendu
🚠	telepherique
🚡	tramway aerien
🛰️	satellite
🚀	fusee
🛸	ovni
🛎️	cloche de comptoir
🧳	bagage
⌛	sablier
⏳	sablier avec sable qui coule
⌚	montre
⏰	reveil
⏱️	chronometre
⏲️	horloge
🕰️	horloge posee
🕛	midiminuit
🕧	midiminuit et demie
🕐	une heure
🕜	une heure et demie
🕑	deux heures
🕝	deux heures et demie
🕒	trois heures
🕞	trois heures et demie
🕓	quatre heures
🕟	quatre heures et demie
🕔	cinq heures
🕠	cinq heures et demie
🕕	six heures
🕡	six heures et demie
🕖	sept heures
🕢	sept heures et demie
🕗	huit heures
🕣	huit heures et demie
🕘	neuf heures
🕤	neuf heures et demie
🕙	dix heures
🕥	dix heures et demie
🕚	onze heures
🕦	onze heures et demie
🌑	nouvelle lune
🌒	lune croissante
🌓	premier quartier
🌔	lune gibbeuse croissante
🌕	pleine lune
🌖	lune gibbeuse decroissante
🌗	dernier quartier
🌘	lune decroissante
🌙	croissant de lune
🌚	nouvelle lune visage
🌛	premier quartier de lune
🌜	dernier quartier de lune
🌡️	thermometre
☀️	soleil
🌝	lune a visage
🌞	soleil a visage
🪐	planete a anneaux
⭐	etoile
🌟	etoile brillante
🌠	etoile filante
🌌	voie lactee
☁️	nuage
⛅	soleil derriere nuages
⛈️	nuage eclair pluie
🌤️	soleil petit nuage
🌥️	soleil gros nuage
🌦️	soleil nuage pluie
🌧️	nuage pluie
🌨️	nuage neige
🌩️	nuage eclair
🌪️	tornade
🌫️	brouillard
🌬️	souffle
🌀	spirale
🌈	arc en ciel
🌂	parapluie ferme
☂️	parapluie ouvert
☔	parapluie gouttes
⛱️	parapluie au sol
⚡	symbole haute tension
❄️	flocon
☃️	bonhomme de neige flocons
⛄	bonhomme de neige
☄️	comete
🔥	feu
💧	sueurs froides
🌊	vague
🎃	citrouille
🎄	sapin de noel
🎆	feu dartifice
🎇	etincelles
🧨	petard
✨	etoiles
🎈	ballon gonflable
🎉	cotillons
🎊	confettis
🎋	arbre a voeux
🎍	bambou decoratif
🎎	poupees japonaises
🎏	koinobori
🎐	carillon eolien
🎑	ceremonie de la lune
🧧	enveloppe rouge
🎀	ruban
🎁	cadeau
🎗️	ruban de memoire
🎟️	billet dentree
🎫	billet
🎖️	medaille militaire
🏆	trophee
🏅	medaille sportive
🥇	medaille dor
🥈	medaille dargent
🥉	medaille de bronze
⚽	ballon de football
⚾	balle de baseball
🥎	softball 3
🏀	basket
🏐	volley
🏈	football americain
🏉	rugby
🎾	balle de tennis
🥏	frisbee 2
🎳	bowling
🏏	cricket
🏑	hockey sur gazon
🏒	hockey sur glace
🥍	crosse
🏓	ping pong
🏸	badminton
🥊	gant de boxe
🥋	uniforme arts martiaux
🥅	cage
⛳	drapeau de golf
⛸️	patin a glace
🎣	peche a la ligne
🤿	masque de plongee
🎽	tee shirt de course
🎿	ski
🛷	traineau
🥌	pierre de curling
🎯	dans le mille
🪀	yoyo
🪁	cerf volant
🎱	billard
🔮	boule de cristal
🪄	baguette magique
🧿	nazar boncuk
🎮	jeu video
🕹️	manette de jeu
🎰	machine a sous
🎲	des
🧩	puzzle 2
🧸	ours en peluche
🪅	pinata 2
🪆	poupees russes
♠️	pique
♥️	coeur cartes
♦️	carreau
♣️	trefle cartes
♟️	pion echecs
🃏	carte joker
🀄	dragon rouge mahjong
🎴	carte a jouer
🎭	spectacle vivant
🖼️	cadre avec image
🎨	palette de peinture
🧵	fil a coudre
🪡	aiguille a coudre
🧶	fil textile
🪢	noeud
👓	lunettes
🕶️	lunettes de soleil
🥽	lunettes de protection
🥼	blouse
🦺	gilet de securite
👔	cravate
👕	t shirt
👖	jean
🧣	echarpe
🧤	gants
🧥	manteau
🧦	chaussettes
👗	robe
👘	kimono
🥻	sari
🩱	maillot de bain une piece
🩲	slip
🩳	short
👙	bikini
👚	vetements de femme
👛	porte monnaie
👜	sac a main
👝	pochette
🛍️	sacs de shopping
🎒	cartable
🩴	tong
👞	chaussure dhomme
👟	chaussure de sport
🥾	chaussure de marche
🥿	ballerine 2
👠	talon haut
👡	sandale
🩰	chaussons de danse
👢	botte
👑	couronne
👒	chapeau de femme
🎩	haut de forme
🎓	diplome
🧢	casquette
🪖	casque militaire
⛑️	casque croix blanche
📿	chapelet
💄	rouge a levres
💍	bague
💎	pierre precieuse
🔇	muet
🔈	haut parleur denceinte
🔉	volume bas
🔊	volume eleve
📢	haut parleur
📣	megaphone
📯	cor de facteur
🔔	cloche
🔕	alarme desactivee
🎼	partition
🎵	note de musique
🎶	notes de musique
🎙️	micro de studio
🎚️	curseur de niveau
🎛️	boutons de controle
🎤	micro
🎧	casque
📻	radio
🎷	saxophone
🪗	accordeon
🎸	guitare
🎹	piano
🎺	trompette
🎻	violon
🪕	banjo
🥁	batterie
🪘	djembe
📱	telephone portable
📲	appel entrant
☎️	telephone emoji
📞	combine telephonique
📟	pager
📠	fax
🔋	pile
🔌	branche
💻	ordinateur portable
🖥️	ordinateur de bureau
🖨️	imprimante
⌨️	clavier
🖱️	souris dordinateur
🖲️	souris a boule
💽	minidisc
💾	disquette
💿	cd
📀	dvd
🧮	abaque
🎥	camera
🎞️	pellicule
📽️	projecteur cinematographique
🎬	clap
📺	television
📷	appareil photo
📸	appareil photo flash
📹	camescope
📼	cassette video
🔍	loupe gauche
🔎	loupe droite
🕯️	bougie
💡	ampoule
🔦	torche
🏮	lampion rouge
🪔	diya
📔	carnet avec couverture
📕	livre ferme
📖	livre ouvert
📗	livre vert
📘	livre bleu
📙	livre orange
📚	livres
📓	carnet
📒	classeur
📃	page enroulee
📜	parchemin
📄	page
📰	journal
🗞️	journal roule
📑	signets
🔖	signet
🏷️	etiquette
💰	sac plein dargent
🪙	piece
💴	billet en yens
💵	billet en dollars
💶	billet en euros
💷	billet en livres
💸	billet avec des ailes
💳	carte bancaire
🧾	recu
💹	courbe avec yen en hausse
✉️	enveloppe
📧	e mail
📨	message recu
📩	message envoye
📤	boite denvoi
📥	boite de reception
📦	colis
📫	boite aux lettres fermee drapeau leve
📪	boite aux lettres fermee drapeau baisse
📬	boite aux lettres ouverte drapeau leve
📭	boite aux lettres ouverte drapeau baisse
📮	boite aux lettres
🗳️	urne electorale
✏️	crayon
✒️	stylo plume noir
🖋️	stylo plume
🖊️	stylo
🖌️	pinceau
🖍️	crayon pastel
📝	memo
💼	porte documents
📁	dossier
📂	ouvrir le dossier
🗂️	intercalaires
📅	calendrier
📆	ephemeride
🗒️	bloc notes a spirales
🗓️	calendrier a spirales
📇	carnet dadresses
📈	graphique en hausse
📉	graphique en baisse
📊	graphiques a barres
📋	porte bloc
📌	punaise
📍	epingle
📎	trombone
🖇️	trombones
📏	regle
📐	equerre
✂️	ciseaux
🗃️	boite a dossiers
🗄️	meuble a dossiers
🗑️	corbeille a papiers
🔒	cadenas ferme
🔓	cadenas ouvert
🔏	confidentiel
🔐	verrouille
🔑	cle
🗝️	cle ancienne
🔨	marteau
🪓	hache
⛏️	pioche
⚒️	marteau et burin
🛠️	marteau et cle a molette
🗡️	dague
⚔️	epees croisees
🔫	pistolet
🪃	boomerang 2
🏹	arc et fleche
🛡️	bouclier
🪚	scie
🔧	cle a molette
🪛	tournevis
🔩	vis et ecrou
⚙️	roue dentee
🗜️	serre joints
⚖️	balance a poids
🦯	canne blanche
🔗	mousqueton
⛓️	chaines
🪝	crochet
🧰	boite a outils
🧲	aimant permanent
🪜	echelle
⚗️	alambic
🧪	tube a essai
🧫	boite de petri
🧬	acide desoxyribonucleique adn
🔬	microscope
🔭	telescope
📡	antenne satellite
💉	seringue
🩸	goutte de sang
💊	pilule
🩹	sparadrap
🩺	stethoscope
🚪	porte
🛗	ascenseur
🪞	miroir
🪟	fenetre
🛏️	lit
🛋️	canape lampe
🪑	chaise
🚽	toilettes
🪠	ventouse
🚿	douche
🛁	baignoire
🪤	tapette a souris
🪒	rasoir
🧴	bouteille de lotion
🧷	epingle de surete
🧹	balai
🧺	panier 2
🧻	rouleau de papier
🪣	seau
🧼	savon
🪥	brosse a dents
🧽	eponge
🧯	extincteur
🛒	panier
🚬	signe fumeur
⚰️	cercueil
🪦	pierre tombale
⚱️	urne funeraire
🗿	moai
🪧	pancarte
🏧	guichet automatique
🚮	icone poubelle
🚰	eau potable
♿	symbole acces handicapes
🚹	symbole homme
🚺	symbole femme
🚻	panneau toilettes
🚼	symbole bebe
🚾	wc
🛂	controle des passeports
🛃	douanes
🛄	retrait des bagages
🛅	consigne
⚠️	symbole davertissement
🚸	traversee denfants
⛔	sens interdit
🚫	entree interdite
🚳	velo interdit
🚭	interdiction de fumer
🚯	depot dordures interdit
🚱	eau non potable
🚷	interdit aux pietons
📵	telephones portables interdits
🔞	18 ans et plus
☢️	radioactif
☣️	danger biologique
⬆️	fleche haut
↗️	fleche haut droite
➡️	fleche droite
↘️	fleche bas droite
⬇️	fleche bas
↙️	fleche bas gauche
⬅️	fleche gauche
↖️	fleche haut gauche
↕️	fleche haut bas
↔️	fleche gauche droite
↩️	fleche courbe gauche
↪️	fleche courbe droite
⤴️	fleche courbe haut
⤵️	fleche courbe bas
🔃	sens des aiguilles dune montre
🔄	sens contraire aux aiguilles dune montre
🔙	retour
🔚	fin
🔛	active
🔜	bientot
🔝	haut
🛐	lieu de culte
⚛️	symbole de latome
🕉️	om
✡️	etoile de david
☸️	roue de dharma
☯️	yin yang
✝️	croix latine
☦️	croix orthodoxe
☪️	lune et etoile
☮️	symbole de paix
🕎	chandelier a sept branches
🔯	etoile a 6 branches
♈	belier zodiaque
♉	taureau
♊	gemeaux
♋	cancer
♌	lion
♍	vierge
♎	balance
♏	scorpion zodiaque
♐	sagittaire
♑	capricorne
♒	verseau
♓	poissons
⛎	serpentaire
🔀	fleches croisees
🔁	fleches en cercle
🔂	fleches en cercle avec n1
▶️	bouton lecture
⏩	fleche avance rapide
⏭️	bouton suivant
⏯️	bouton lecturepause
◀️	bouton retour
⏪	fleche retour rapide
⏮️	bouton precedent
🔼	petit triangle haut
⏫	fleche vers le haut
🔽	petit triangle bas
⏬	fleche vers le bas
⏸️	bouton pause
⏹️	bouton stop
⏺️	bouton enregistrer
⏏️	bouton ejecter
🎦	cinema
🔅	luminosite faible
🔆	luminosite elevee
📶	barres de reseau
📳	mode vibreur
📴	telephone eteint
♀️	symbole de la femme
♂️	symbole de lhomme
⚧️	symbole de la communaute transgenre
✖️	croix verte
➕	signe plus
➖	signe moins
➗	signe diviser
♾️	symbole de linfini
‼️	double point dexclamation
⁉️	point dexclamation et dinterrogation
❓	point dinterrogation
❔	point dinterrogation blanc
❕	point dexclamation blanc
❗	point dexclamation
〰️	ligne ondulee
💱	devise
💲	dollar
⚕️	caducee
♻️	symbole recyclage
⚜️	fleur de lys
🔱	trident
📛	badge nominatif
🔰	symbole japonais
⭕	gros cercle
✅	coche blanche
☑️	case cochee
✔️	coche noire
❌	croix rouge
❎	bouton croix
➰	boucle
➿	double boucle
〽️	alternance
✳️	asterique huit branches
✴️	etoile huit branches
❇️	eclat
©️	symbole copyright
®️	marque deposee
™️	marque commerciale deposee
#️⃣	keycap
*️⃣	keycap 11
0️⃣	keycap 0
1️⃣	keycap 1
2️⃣	keycap 2
3️⃣	keycap 3
4️⃣	keycap 4
5️⃣	keycap 5
6️⃣	keycap 6
7️⃣	keycap 7
8️⃣	keycap 8
9️⃣	keycap 9
🔟	keycap 10
🔠	majuscules
🔡	minuscules
🔢	saisie de chiffres
🔣	saisie de symboles
🔤	alphabet latin
🅰️	groupe sanguin a
🆎	groupe sanguin ab
🅱️	groupe sanguin b
🆑	icone effacer
🆒	icone cool
🆓	icone gratuit
ℹ️	source dinformations
🆔	icone identifiant
Ⓜ️	m encercle
🆕	icone nouveau
🆖	icone interdit
🅾️	groupe sanguin o
🆗	icone ok
🅿️	position parking
🆘	icone sos
🆙	icone nouveaute
🆚	icone contre
🈁	ideogramme katakana ici
🈂️	ideogramme katakana sa
🈷️	ideogramme lune
🈶	ideogramme exister
🈯	ideogramme doigt
🉐	ideogramme avantage
🈹	ideogramme diviser
🈚	ideogramme negation
🈲	ideogramme interdit
🉑	ideogramme accepter
🈸	ideogramme appliquer
🈴	ideogramme ensemble
🈳	ideogramme vide
㊗️	ideogramme felicitations
㊙️	ideogramme secret
🈺	ideogramme fonctionnement
🈵	ideogramme plenitude
🔴	rond rouge
🟠	disque orange
🟡	disque jaune
🟢	disque vert
🔵	rond bleu
🟣	disque violet
🟤	disque marron
⚫	cercle noir
⚪	cercle blanc
🟥	carre rouge
🟧	carre orange
🟨	carre jaune
🟩	carre vert
🟦	carre bleu
🟪	carre violet
🟫	carre marron
⬛	grand carre noir
⬜	grand carre blanc
◼️	carre moyen noir
◻️	carre moyen blanc
◾	carre petit moyen noir
◽	carre petit moyen blanc
▪️	petit carre noir
▫️	petit carre blanc
🔶	grand losange orange
🔷	grand losange bleu
🔸	petit losange orange
🔹	petit losange bleu
🔺	triangle haut
🔻	triangle bas
💠	diamant avec un point
🔘	bouton radio
🔳	carre blanc
🔲	carre noir
🏁	drapeau a damiers
🚩	drapeau rouge
🎌	drapeaux japonais
🏴	drapeau noir
🏳️	drapeau blanc
🏳️‍🌈	drapeau arc en ciel
🏳️‍⚧️	drapeau transgenre
🏴‍☠️	drapeau pirate
🇦🇨	drapeau ile de lascension
🇦🇩	drapeau andorre
🇦🇪	drapeau emirats arabes unis
🇦🇫	drapeau afghanistan
🇦🇬	drapeau antigua et barbuda
🇦🇮	drapeau anguilla
🇦🇱	drapeau albanie
🇦🇲	drapeau armenie
🇦🇴	drapeau angola
🇦🇶	drapeau antarctique
🇦🇷	drapeau argentine
🇦🇸	drapeau samoa americaines
🇦🇹	drapeau autriche
🇦🇺	drapeau australie
🇦🇼	drapeau aruba
🇦🇽	drapeau iles aland
🇦🇿	drapeau azerbaidjan
🇧🇦	drapeau bosnie herzegovine
🇧🇧	drapeau barbade
🇧🇩	drapeau bangladesh
🇧🇪	drapeau belgique
🇧🇫	drapeau burkina faso
🇧🇬	drapeau bulgarie
🇧🇭	drapeau bahrein
🇧🇮	drapeau burundi
🇧🇯	drapeau benin
🇧🇱	drapeau saint barthelemy
🇧🇲	drapeau bermudes
🇧🇳	drapeau brunei darussalam
🇧🇴	drapeau bolivie
🇧🇶	drapeau pays bas caribeens
🇧🇷	drapeau bresil
🇧🇸	drapeau bahamas
🇧🇹	drapeau bhoutan
🇧🇻	drapeau ile bouvet
🇧🇼	drapeau botswana
🇧🇾	drapeau bielorussie
🇧🇿	drapeau belize
🇨🇦	drapeau canada
🇨🇨	drapeau iles cocos
🇨🇩	drapeau congo kinshasa
🇨🇫	drapeau republique centrafricaine
🇨🇬	drapeau congo brazzaville
🇨🇭	drapeau suisse
🇨🇮	drapeau cote divoire
🇨🇰	drapeau iles cook
🇨🇱	drapeau chili
🇨🇲	drapeau cameroun
🇨🇳	drapeau chine
🇨🇴	drapeau colombie
🇨🇵	drapeau ile clipperton
🇨🇷	drapeau costa rica
🇨🇺	drapeau cuba
🇨🇻	drapeau cap vert
🇨🇼	drapeau curacao
🇨🇽	drapeau ile christmas
🇨🇾	drapeau chypre
🇨🇿	drapeau tchequie
🇩🇪	drapeau allemagne
🇩🇬	drapeau diego garcia
🇩🇯	drapeau djibouti
🇩🇰	drapeau danemark
🇩🇲	drapeau dominique
🇩🇴	drapeau republique dominicaine
🇩🇿	drapeau algerie
🇪🇦	drapeau ceuta et melilla
🇪🇨	drapeau equateur
🇪🇪	drapeau estonie
🇪🇬	drapeau egypte
🇪🇭	drapeau sahara occidental
🇪🇷	drapeau erythree
🇪🇸	drapeau espagne
🇪🇹	drapeau ethiopie
🇪🇺	drapeau union europeenne
🇫🇮	drapeau finlande
🇫🇯	drapeau fidji
🇫🇰	drapeau iles malouines
🇫🇲	drapeau etats federes de micronesie
🇫🇴	drapeau iles feroe
🇫🇷	drapeau france
🇬🇦	drapeau gabon
🇬🇧	drapeau royaume uni
🇬🇩	drapeau grenade
🇬🇪	drapeau georgie
🇬🇫	drapeau guyane francaise
🇬🇬	drapeau guernesey
🇬🇭	drapeau ghana
🇬🇮	drapeau gibraltar
🇬🇱	drapeau groenland
🇬🇲	drapeau gambie
🇬🇳	drapeau guinee
🇬🇵	drapeau guadeloupe
🇬🇶	drapeau guinee equatoriale
🇬🇷	drapeau grece
🇬🇸	drapeau georgie du sud et iles sandwich du sud
🇬🇹	drapeau guatemala
🇬🇺	drapeau guam
🇬🇼	drapeau guinee bissau
🇬🇾	drapeau guyana
🇭🇰	drapeau r a s chinoise de hong kong
🇭🇲	drapeau iles heard et mcdonald
🇭🇳	drapeau honduras
🇭🇷	drapeau croatie
🇭🇹	drapeau haiti
🇭🇺	drapeau hongrie
🇮🇨	drapeau iles canaries
🇮🇩	drapeau indonesie
🇮🇪	drapeau irlande
🇮🇱	drapeau israel
🇮🇲	drapeau ile de man
🇮🇳	drapeau inde
🇮🇴	drapeau territoire britannique de locean indien
🇮🇶	drapeau irak
🇮🇷	drapeau iran
🇮🇸	drapeau islande
🇮🇹	drapeau italie
🇯🇪	drapeau jersey
🇯🇲	drapeau jamaique
🇯🇴	drapeau jordanie
🇯🇵	drapeau japon
🇰🇪	drapeau kenya
🇰🇬	drapeau kirghizistan
🇰🇭	drapeau cambodge
🇰🇮	drapeau kiribati
🇰🇲	drapeau comores
🇰🇳	drapeau saint christophe et nieves
🇰🇵	drapeau coree du nord
🇰🇷	drapeau coree du sud
🇰🇼	drapeau koweit
🇰🇾	drapeau iles caimans
🇰🇿	drapeau kazakhstan
🇱🇦	drapeau laos
🇱🇧	drapeau liban
🇱🇨	drapeau sainte lucie
🇱🇮	drapeau liechtenstein
🇱🇰	drapeau sri lanka
🇱🇷	drapeau liberia
🇱🇸	drapeau lesotho
🇱🇹	drapeau lituanie
🇱🇺	drapeau luxembourg
🇱🇻	drapeau lettonie
🇱🇾	drapeau libye
🇲🇦	drapeau maroc
🇲🇨	drapeau monaco
🇲🇩	drapeau moldavie
🇲🇪	drapeau montenegro
🇲🇫	drapeau saint martin
🇲🇬	drapeau madagascar
🇲🇭	drapeau iles marshall
🇲🇰	drapeau macedoine
🇲🇱	drapeau mali
🇲🇲	drapeau myanmar birmanie
🇲🇳	drapeau mongolie
🇲🇴	drapeau r a s chinoise de macao
🇲🇵	drapeau iles mariannes du nord
🇲🇶	drapeau martinique
🇲🇷	drapeau mauritanie
🇲🇸	drapeau montserrat
🇲🇹	drapeau malte
🇲🇺	drapeau maurice
🇲🇻	drapeau maldives
🇲🇼	drapeau malawi
🇲🇽	drapeau mexique
🇲🇾	drapeau malaisie
🇲🇿	drapeau mozambique
🇳🇦	drapeau namibie
🇳🇨	drapeau nouvelle caledonie
🇳🇪	drapeau niger
🇳🇫	drapeau ile norfolk
🇳🇬	drapeau nigeria
🇳🇮	drapeau nicaragua
🇳🇱	drapeau pays bas
🇳🇴	drapeau norvege
🇳🇵	drapeau nepal
🇳🇷	drapeau nauru
🇳🇺	drapeau niue
🇳🇿	drapeau nouvelle zelande
🇴🇲	drapeau oman
🇵🇦	drapeau panama
🇵🇪	drapeau perou
🇵🇫	drapeau polynesie francaise
🇵🇬	drapeau papouasie nouvelle guinee
🇵🇭	drapeau philippines
🇵🇰	drapeau pakistan
🇵🇱	drapeau pologne
🇵🇲	drapeau saint pierre et miquelon
🇵🇳	drapeau iles pitcairn
🇵🇷	drapeau porto rico
🇵🇸	drapeau territoires palestiniens
🇵🇹	drapeau portugal
🇵🇼	drapeau palaos
🇵🇾	drapeau paraguay
🇶🇦	drapeau qatar
🇷🇪	drapeau la reunion
🇷🇴	drapeau roumanie
🇷🇸	drapeau serbie
🇷🇺	drapeau russie
🇷🇼	drapeau rwanda
